Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,MADEIRO,281,8100,001,036,22/09/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,23/09/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,24/09/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,25/09/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,26/09/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,27/09/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,28/09/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,29/09/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,30/09/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,01/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,02/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,03/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,04/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,05/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,06/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,07/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,08/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,09/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,10/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,11/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,12/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,13/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,14/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,15/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,16/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,17/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,18/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,19/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,20/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,21/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,22/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,23/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,24/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,25/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,26/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,27/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,28/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,29/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,30/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,31/10/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,01/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,02/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,03/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,04/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,05/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,06/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,07/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,08/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,09/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,10/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,11/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,12/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,13/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,14/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,15/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,16/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,17/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,18/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,19/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,20/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,21/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,22/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,23/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,24/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,25/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,26/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,27/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,28/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,29/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,30/11/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,01/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,02/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,03/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,04/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,05/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,06/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,07/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,08/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,09/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,10/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,11/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,12/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,13/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,14/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,15/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,16/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,17/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,18/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,19/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,20/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,21/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,22/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,23/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,24/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,25/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,26/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,27/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,28/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,29/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,30/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,31/12/2015,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,01/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,02/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,03/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,04/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,05/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,06/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,07/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,08/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,09/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,10/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,11/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,12/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,13/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,14/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,15/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,16/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,17/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,18/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,19/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,20/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,21/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,22/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,23/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,24/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,25/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,26/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,27/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,28/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,29/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,30/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,31/01/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,01/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,02/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,03/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,04/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,05/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,06/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,07/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,08/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,09/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,10/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,11/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,12/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,13/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,14/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,15/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,16/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,17/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,18/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,19/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,20/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,21/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,22/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,23/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,24/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,25/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,26/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,27/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,28/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,29/02/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,01/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,02/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,03/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,04/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,05/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,06/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,07/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,08/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,09/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,10/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,11/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,12/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,13/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,14/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,15/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,16/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,17/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,18/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,19/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,20/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,21/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,22/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,23/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,24/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,25/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,26/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,27/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,28/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,29/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,30/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,31/03/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,01/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,02/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,03/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,04/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,05/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,06/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,07/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,08/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,09/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,10/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,11/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,12/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,13/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,14/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,15/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,16/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,17/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,18/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,19/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,20/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,21/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,22/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,23/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,24/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,25/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,26/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,27/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,28/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,29/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,30/04/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,01/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,02/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,03/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,04/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,05/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,06/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,07/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,08/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,09/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,10/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,11/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,12/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,13/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,14/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,15/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,16/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,17/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,18/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,19/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,20/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,21/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,22/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,23/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,24/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,25/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,26/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,27/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,28/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,29/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,30/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,31/05/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,01/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,02/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,03/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,04/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,05/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,06/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,07/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,08/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,09/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,10/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,11/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,12/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,13/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,14/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,15/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,16/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,17/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,18/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,19/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,20/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,21/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,22/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,23/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,24/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,25/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,26/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,27/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,28/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,29/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,30/06/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,01/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,02/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,03/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,04/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,05/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,06/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,07/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,08/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,09/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,10/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,11/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,12/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,13/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,14/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,15/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,16/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,17/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,18/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,19/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,20/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,21/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,22/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,23/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,24/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,25/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,26/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,27/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,28/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,29/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,30/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,31/07/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,01/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,02/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,03/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,04/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,05/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,06/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,07/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,08/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,09/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,10/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,11/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,12/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,13/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,14/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,15/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,16/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,17/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,18/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,19/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,20/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,21/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,22/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,23/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,24/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,25/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,26/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,27/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,28/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,29/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,30/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,31/08/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,01/09/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,02/09/2016,-38.553137,-6.189098
Ceará,MADEIRO,281,8100,001,036,03/09/2016,-38.553137,-6.189098
